"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account — pick a different ledger or unmap the other Plaid account first.",,
"""${0}"" is already mapped to Plaid account ${1}. Each ledger account can only be linked to one Plaid sub-account.",,
"""${0}"" is the last sub-account still receiving automatic imports under ${1}. Disconnecting it removes the whole institution from Plaid and stops all feeds for this bank until you connect it again. Your ledger accounts and history stay in the books.",,
${0},,
"Archiving hides ""${0}"" from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded. Automatic imports for this Plaid sub-account stop; other linked accounts under ${1} can keep syncing.",,
"Archiving hides ""${0}"" from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded. This is the last sub-account still syncing under ${1}; archiving will also disconnect the entire institution from Plaid until you connect the bank again.",,
"Archiving hides this account from your daily bank feeds and most pickers, but keeps your historical reports accurate. Unreviewed feed lines for this account will be marked excluded.",,
Arial,,
"As Of Date",,
"As of",,
"Ascending Order",,
Asset,,
"Attach Image",,
Attachment,,
"Attempt count",,
August,,
"Auth Token",,
"Auto Payments",,
"Auto Stock Transfer",,
"Auto-stage new Plaid batches into Bank Account Activity (For Review).",,
Autocomplete,,
"Automatic updates are not enabled for this build.",,
"Available Loyalty Points",,
Back,,
"Back Reference",,
"Bad import data, could not read file.",,
Balance,Balanç,
"Balance Amount",,
"Balance Sheet","Full de balanç",
"Balance as of today",,
Balanced,,
Bank,,
"Bank Account Activity",,
"Bank Accounts","Comptes bancaris",
"Bank Entry","Entrada bancària",
"Bank Feed",,
"Bank Feed Settings",,
"Bank Name","Nom del banc",
"Bank Overdraft Account","Compte bancari d’exedents",
"Bank Statement",,
"Bank Statement Line",,
"Bank account",,
"Bank account balance",,
"Bank account created, but the opening balance could not be posted: ${0}",,
"Bank account name",,
"Bank feed",,
"Bank feed catch-up paused",,
"Bank feed updates applied to For Review.",,
"Bank feeds paused — acknowledge old import batches in Desktop to resume.",,
"Bank feeds paused — open Desktop and acknowledge old import batches to resume.",,
"Bank institution disconnected from Plaid. You can still use manual CSV uploads.",,
"Bank linked. Accounts will appear below after a short sync.",,
"Bank reference",,
"Bank sync paused. Verify your identity in LiveBooks Cloud to resume downloading transactions.",,
Banking,,
Barcode,,
"Barcode ${0} has an invalid length.",,
"Barcode must be exactly 12 digits.",,
"Base Grand Total",,
"Based On",,
Batch,,
"Batch ${0} does not belong to Item ${1}",,
"Batch ${0} only has ${1} quantity available but ${2} is required",,
"Batch Series",,
"Batch Series cannot contain the following characters: /, ?, &, =, %",,
"Batch not set for row ${0}.",,
"Batch public id",,
"Batch set for row ${0}.",,
"Beginning balance",,
"Beginning balance does not match your last closed reconciliation. A reconciled transaction may have been edited or deleted.",,
"Beginning balance may be off",,
Bill,,
"Bill Created","Factura creada",
Billing,,
Billion,,
Bills,,
Black,Negre,
Blue,,
"Book Id",,
"Book id",,
Both,Ambdós,
"Both From and To Location cannot be undefined",,
Buildings,Buildings,
"Can Change Discount",,
"Can Change Rate",,
Cancel,Cancel·la,
"Cancel ${0}?",,
"Cancel Button Colour",,
"Cancel or Delete an entry.",,
Cancelled,Cancel·lat,
"Cannot Commit Error",,
"Cannot Delete",,
"Cannot Delete Account",,
"Cannot Export",,
"Cannot Import",,
"Cannot Move",,
"Cannot Open File",,
"Cannot add an item to a submitted invoice.",,
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}",,
"Cannot cancel ${0} because of the following ${1}: ${2}",,
"Cannot delete ""${0}"" because it has linked ledger entries or other references.",,
"Cannot delete ${0} ""${1}"" because of linked entries.",,
"Cannot make recurring",,
"Cannot open file",,
"Cannot perform operation.",,
"Cannot read file",,
"Capital Equipments","Capital Equipments",
"Capital Stock","Capital Stock",
Cash,Efectiu,
"Cash Denominations",,
"Cash Entry","Entrades d'efectiu",
"Cash In Denominations",,
"Cash In Hand","Efectiu disponible",
Cashflow,Flux,
Category,,
"Category is required.",,
Ceil,,
"Central Tax",Tributacions,
"Change File","Canviar fitxer",
"Change Ref Type",,
"Changes made to settings will be visible on reload.",,
Chargeable,,
"Chart Of Accounts Reviewed","Diagrama de comptes revisat",
"Chart of Accounts","Diagrama de comptes",
"Chart of accounts (bank)",,
Check,,
"Check Digits",,
"Check for updates",,
"Checked in the reconcile workbench for this session.",,
"Checking for updates…",,
"Cheque Register",,
"Choose a chart of accounts bank account before saving.",,
"City / Town",Ciutat,
Classic,,
Clear,,
"Clear Synced Data From ERPNext SyncQueue",,
"Clearance Date","Data de neteja",
"Clearance Date not set.",,
Cleared,,
"Cleared balance",,
"Click Refresh to retry. If retries keep failing, contact support.",,
"Clicking continue will remove all the selected items.",,
"Client Seq",,
Close,Tancar,
"Close LiveBooks Desktop and try manually.",,
"Close POS Shift",,
"Close Quick Search",,
Closed,,
"Closed at",,
Closing,,
"Closing ${0} Amount can not be negative.",,
"Closing (Cr)","Tancant (Cr)",
"Closing (Dr)","Tancant (Dr)",
"Closing Amount",,
"Closing Amounts",,
"Closing Cash",,
"Closing Cash In Denominations",,
"Closing Date",,
"Closing balance on your statement (the target).",,
"Cloud statement id",,
Collapse,,
"Collection Factor",,
"Collection Rules",,
Color,Color,
Colour,,
"Column mapping",,
"Commission on Sales","Comisions de venda",
Common,Comuns,
Company,,
"Company Logo","Logotip de l'empresa",
"Company Name","Nom de l'empresa",
"Company Setup","Configuració de l'empresa",
"Company file moved to ${0}.",,
"Company file moved to ${0}. The previous file could not be retired — please remove or rename it manually so it is not opened as a second copy.",,
Completed,Completat,
Condition,,
"Connect Banks via Plaid",,
"Connection broken — sign in again.",,
"Connection healthy",,
"Consolidate Columns",,
Contact,,
Contacts,,
Contains,Conté,
"Content hash",,
Continue,,
"Continue submitting Invoice?",,
"Continue submitting Sales Invoice?",,
"Contra Entry","Entrades en contra",
"Conversion Error",,
"Conversion Factor",,
Converted,,
"Cost Of Goods Sold Acc.",,
"Cost of Goods Sold","Cost dels béns venuts",
"Could not add transaction.",,
"Could not check for updates.",,
"Could not connect to database file ${0}, please select the file manually",,
"Could not disconnect bank feeds in LiveBooks Cloud. The local company file will still be deleted.",,
"Could not open the company at ${0}. Please reopen it from the company list.",,
"Could not re-fetch prior bank batches. Upload a CSV/OFX if history is missing.",,
"Could not reach the update server. Check your connection and try again.",,
"Could not reactivate feed.",,
"Could not resolve your cloud book for this company file.",,
"Could not save bank connection.",,
"Could not start Plaid Link.",,
"Couldn't find a parent account in the chart of accounts. Add a Bank Accounts (or Liability) group first.",,
"Couldn't finish setting up the bank account.",,
"Couldn't load transactions.",,
"Couldn't save the bank account. Please try again.",,
"Couldn't save the bank account: ${0}",,
"Couldn't save the statement. Please try again.",,
Count,,
"Counter Cash Account",,
Country,País,
"Country Code",,
"Country code used to initialize regional settings.",,
